,Petalburg Woods,,,,,
Name,Bug Catcher Lyle,,,,,
Pokémon,,,,,,
,Ariados,Kricketune,Ninjask,,,
Level,21 ,21 ,21 ,,,
Held Item,Scope Lens,Lum Berry,White Herb,,,
Ability,Sniper,Technician,Speed Boost,,,
Nature,Jolly,Jolly,Naughty,,,
Moves,Cross Poison,Bug Bite,Leech Life,,,
,Pin Missile,Fell Stinger,Dual Wingbeat,,,
,Night Slash,Rock Smash,Giga Drain,,,
,Shadow Sneak,Aerial Ace,,,,
Name,Bug Maniac James,,,,,
Pokémon,,,,,,
,Larvesta,Vibrava,Shedinja,Ribombee,,
Level,21 ,21 ,22 ,21 ,,
Held Item,Eviolite,Yache Berry,Bright Powder,Wise Glasses,,
Ability,Flame Body,Levitate,Wonder Guard,Shield Dust,,
Nature,Careful,Jolly,Quiet,Timid,,
Moves,Skitter Smack,Stomping Tantrum,X-Scissor,Signal Beam,,
,Flame Charge,Breaking Swipe,Hex,Draining Kiss,,
,Roost,Bug Bite,Shadow Sneak,Magical Leaf,,
,Will-O-Wisp,Roost,Will-O-Wisp,Fake Tears,,
,Route 104,,,,,
Name,Rich Boy Winston,,,,,
Pokémon,,,,,,
,Furfrou,Mightyena,,,,
Level,21 ,22 ,,,,
Held Item,Leftovers,Leftovers,,,,
Ability,Fur Coat,Intimidate,,,,
Nature,Impish,Jolly,,,,
Moves,Headbutt,Crunch,,,,
,Covet,Ice Fang,,,,
,Rock Smash,Fire Fang,,,,
,,Covet,,,,
Name,Fisherman Ivan,,,,,
Pokémon,,,,,,
,Qwilfish,Seadra,Sealeo,,,
Level,22 ,21 ,21 ,,,
Held Item,Black Sludge,Lum Berry,Lum Berry,,,
Ability,Intimidate,Sniper,Ice Body,,,
Nature,Hasty,Hasty,Bold,,,
Moves,Dive,Brine,Aurora Beam,,,
,Venoshock,Headbutt,Whirlpool,,,
,Toxic,Aurora Beam,Hail,,,
,Protect,Focus Energy,Protect,,,
Name,Twins Gina And Mia [Double],,,,,
Pokémon,,,,,,
,Dedenne,Clefairy,Abra,Togedemaru,,
Level,22 ,21 ,20 ,19 ,,
Held Item,Sitrus Berry,Eviolite,Lum Berry,Lum Berry,,
Ability,Cheek Pouch,Friend Guard,Magic Guard,Sturdy,,
Nature,Modest,Bold,Timid,Jolly,,
Moves,Dazzling Gleam,Follow Me,Psybeam,Iron Head,,
,Electroweb,Helping Hand,Dazzling Gleam,Zing Zap,,
,,,,Fake Out,,
,,,,Helping Hand,,
Name,Lass Haley,,,,,
Pokémon,,,,,,
,Lumineon,Gloom,Staravia,Numel,,
Level,22 ,21 ,22 ,23 ,,
Held Item,Lum Berry,Lum Berry,Fighting Gem,Passho Berry,,
Ability,Water Veil,Stench,Intimidate,Simple,,
Nature,Timid,Bold,Jolly,Modest,,
Moves,Surf,Sludge,Dual Wingbeat,Earth Power,,
,Air Slash,Magical Leaf,Quick Attack,Lava Plume,,
,Icy Wind,Sleep Powder,Steel Wing,Flame Charge,,
,,Strength Sap,Rock Smash,Ancient Power,,
,Route 116,,,,,
Name,Youngster Joey,,,,,
Pokémon,,,,,,
