,Rusturf Tunnel,,,,,
Name,Hiker Mike,,,,,
Pokémon,,,,,,
,Sandaconda,Probopass,Stoutland,Clefable,,
Level,25 ,26 ,26 ,25 ,,
Held Item,Lum Berry,Leftovers,Lum Berry,Pixie Plate,,
Ability,Sand Spit,Sand Force,Sand Rush,Magic Guard,,
Nature,Careful,Modest,Adamant,Timid,,
Moves,Earthquake,Power Gem,Body Slam,Draining Kiss,,
,Stone Edge,Flash Cannon,Play Rough,Ice Beam,,
,Fire Fang,Earth Power,Submission,Thunderbolt,,
,Glare,Thunderbolt,Howl,Mystical Fire,,
,Route 117,,,,,
Name,Breeder Lydia,,,,,
Pokémon,,,,,,
,Gothitelle,Hitmonchan,Toxtricity,Sableye,,
Level,26 ,26 ,26 ,27 ,,
Held Item,Leftovers,Lum Berry,Lum Berry,Sitrus Berry,,
Ability,Shadow Tag,Iron Fist,Technician,Prankster,,
Nature,Bold,Jolly,Rash,Bold,,
Moves,Psychic,Sky Uppercut,Shock Wave,Foul Play,,
,Draining Kiss,Mach Punch,Drain Punch,Night Shade,,
,Calm Mind,Ice Punch,Payback,Will-O-Wisp,,
,Rest,Shadow Punch,Shift Gear,Recover,,
Name,Breeder Corgi,,,,,
Pokémon,,,,,,
,Arcanine,Furfrou,Lucario,Manectric,Boltund,
Level,27 ,28 ,27 ,27 ,27 ,
Held Item,Sitrus Berry,Leftovers,Lum Berry,Lum Berry,Focus Sash,
Ability,Intimidate,Fur Coat,Steadfast,Static,Strong Jaw,
Nature,Jolly,Jolly,Timid,Naive,Jolly,
Moves,Flare Blitz,Return,Aura Sphere,Thunderbolt,Thunder Fang,
,Wild Charge,Iron Tail,Flash Cannon,Flamethrower,Psychic Fangs,
,Extreme Speed,Play Rough,Shadow Ball,Crunch,Crunch,
,Will-O-Wisp,Attract,Magnet Rise,Ice Fang,Howl,
Name,Psychic Brandi & Battle Girl Aisha [Double],,,,,
Pokémon,,,,,,
,Orbeetle,Hypno,,Toxicroak,Hariyama,
Level,27 ,27 ,,27 ,27 ,
Held Item,Lum Berry,Sitrus Berry,,Payapa Berry,Lum Berry,
Ability,Compound Eyes,Bad Dreams,,Poison Touch,Thick Fat,
Nature,Timid,Bold,,Jolly,Adamant,
Moves,Psychic,Psychic,,Poison Jab,Wake-Up Slap,
,Bug Buzz,Dazzling Gleam,,Wake-Up Slap,Rock Slide,
,Hypnosis,Calm Mind,,Knock Off,Knock Off,
,Recover,Dark Void,,Fake Out,Fake Out,
Name,Battle Girl Luna,,,,,
Pokémon,,,,,,
,Electivire,Turtonator,Tsareena,Grapploct,Quagsire,
Level,27 ,27 ,28 ,27 ,28 ,
Held Item,Sitrus Berry,Sitrus Berry,Lum Berry,Lum Berry,Rindo Berry,
Ability,Motor Drive,Shell Armor,Queenly Majesty,Technician,Water Absorb,
