,Winstrate House,,,,,
Name,Winstrate Victor,,,,,
Pokémon,,,,,,
,Toucannon,Emolga,,,,
Level,43 ,43 ,,,,
Held Item,Lum Berry,Lum Berry,,,,
Ability,Skill Link,Motor Drive,,,,
Nature,Hasty,Hasty,,,,
Moves,Boomburst,Thunderbolt,,,,
,Drill Peck,Dual Wingbeat,,,,
,Bullet Seed,Iron Tail,,,,
,Supersonic,Roost,,,,
Name,Winstrate Victoria,,,,,
Pokémon,,,,,,
,Abomasnow,Centiskorch,Seismitoad,,,
Level,43 ,44 ,43 ,,,
Held Item,Lum Berry,Leftovers,Lum Berry,,,
Ability,Soundproof,White Smoke,Water Absorb,,,
Nature,Hasty,Careful,Timid,,,
Moves,Wood Hammer,Fire Lash,Earth Power,,,
,Ice Beam,Skitter Smack,Muddy Water,,,
,Ice Shard,Coil,Venoshock,,,
,Earthquake,Protect,Toxic,,,
Name,Winstrate Vivi,,,,,
Pokémon,,,,,,
,Ribombee,Flygon,Sudowoodo,,,
Level,44 ,43 ,43 ,,,
Held Item,Focus Sash,Lum Berry,Lum Berry,,,
Ability,Shield Dust,Levitate,Rock Head,,,
Nature,Timid,Hasty,Adamant,,,
Moves,Dazzling Gleam,Dragon Claw,Head Smash,,,
,Signal Beam,Scorching Sands,Double-Edge,,,
,Energy Ball,Flamethrower,Wood Hammer,,,
,Stun Spore,Roost,Submission,,,
Name,Winstrate Vicky,,,,,
Pokémon,,,,,,
,Medicham-Mega,Krookodile,,,,
Level,44 ,44 ,,,,
Held Item,Medichamite,Lum Berry,,,,
Ability,Pure Power,Moxie,,,,
Nature,Jolly,Jolly,,,,
Moves,High Jump Kick,Earthquake,,,,
,Zen Headbutt,Crunch,,,,
,Thunder Punch,Pursuit,,,,
,Fake Out,Aqua Tail,,,,
,Route 111,,,,,
Name,Picnicker Irene,,,,,
Pokémon,,,,,,
,Leavanny,Clefable,Stoutland,,,
Level,45 ,44 ,45 ,,,
Held Item,Focus Sash,Leftovers,Silk Scarf,,,
Ability,Overcoat,Magic Guard,Sand Rush,,,
Nature,Jolly,Bold,Adamant,,,
Moves,Leaf Blade,Moonblast,Retaliate,,,
,X-Scissor,Focus Blast,Body Slam,,,
,Flail,Counter,Play Rough,,,
,Grass Whistle,Soft-Boiled,Stomping Tantrum,,,
Name,Camper Travis,,,,,
Pokémon,,,,,,
,Crustle,Sigilyph,Piloswine,,,
Level,44 ,44 ,45 ,,,
Held Item,Lum Berry,Leftovers,Eviolite,,,
Ability,Weak Armor,Magic Guard,Thick Fat,,,
Nature,Careful,Timid,Careful,,,
Moves,Stone Edge,Psychic,Earthquake,,,
,X-Scissor,Air Slash,Icicle Spear,,,
,Earthquake,Heat Wave,Curse,,,
,Shell Smash,Energy Ball,Rest,,,
Name,Ruin Maniac Bryan & Picnicker Celia [Double],,,,,
Pokémon,,,,,,
,Gigalith,Nidoking,,Maractus,Gastrodon,
Level,45 ,45 ,,45 ,45 ,
Held Item,Sitrus Berry,Lum Berry,,Sitrus Berry,Rindo Berry,
Ability,Clear Body,Sheer Force,,Storm Drain,Storm Drain,
Nature,Adamant,Hasty,,Timid,Bold,
Moves,Stone Edge,Drill Run,,Energy Ball,Earth Power,
,Rock Slide,Poison Jab,,Hidden Power Fire,Muddy Water,
,Body Press,Thunderbolt,,Weather Ball,Ice Beam,
,Sand Tomb,Flamethrower,,Spiky Shield,Recover,
Name,Camper Branden,,,,,
Pokémon,,,,,,
,Skarmory,Torterra,Bewear,Rhyperior,,
Level,45 ,44 ,44 ,44 ,,
Held Item,Red Card,Leftovers,Leftovers,Leftovers,,
Ability,Sturdy,Rock Head,Fluffy,Solid Rock,,
Nature,Jolly,Jolly,Jolly,Careful,,
Moves,Dual Wingbeat,Wood Hammer,Body Slam,Drill Run,,
,Body Press,Earthquake,Drain Punch,Avalanche,,
,Spikes,Leech Seed,Zen Headbutt,Dragon Tail,,
,Stealth Rock,Protect,Payback,Protect,,
Name,Collector John,,,,,
Pokémon,,,,,,
,Copperajah,Delphox,Mandibuzz,Lycanroc,Sandslash,
Level,45 ,45 ,45 ,45 ,46 ,
Held Item,Choice Band,Sticky Barb,Rocky Helmet,Focus Sash,Lum Berry,
Ability,Heavy Metal,Magic Guard,Overcoat,Sand Rush,Sand Rush,
Nature,Adamant,Timid,Impish,Adamant,Adamant,
Moves,Heavy Slam,Psyshock,Knock Off,Stone Edge,Earthquake,
,,Mystical Fire,Protect,High Horsepower,Stone Edge,
,,Foul Play,Roost,Psychic Fangs,Knock Off,
,,Switcheroo,Toxic,Endeavor,Swords Dance,
Name,Camper Beau,,,,,
Pokémon,,,,,,
,Probopass,Palossand,Perrserker,,,
Level,46 ,44 ,44 ,,,
Held Item,Focus Sash,Bright Powder,Assault Vest,,,
Ability,Sand Force,Sand Veil,Steely Spirit,,,
Nature,Quiet,Modest,Careful,,,
Moves,Flash Cannon,Scorching Sands,Iron Tail,,,
,Power Gem,Hex,Bullet Punch,,,
,Explosion,Ancient Power,Close Combat,,,
,Zap Cannon,Shore Up,Gunk Shot,,,
Name,Ninja Boy Jinra,,,,,
Pokémon,,,,,,
,Nidoqueen,Charizard,Golem,Cacturne,,
Level,44 ,44 ,43 ,43 ,,
Held Item,Life Orb,Rock Gem,Bright Powder,Bright Powder,,
Ability,Sheer Force,Blaze,Sand Veil,Sand Veil,,
Nature,Timid,Hasty,Adamant,Adamant,,
Moves,Earth Power,Flamethrower,Earthquake,Seed Bomb,,
,Sludge Bomb,Dual Wingbeat,Rock Slide,Payback,,
,Flamethrower,Dragon Claw,Focus Punch,Focus Punch,,
,Ice Beam,Weather Ball,Seismic Toss,Substitute,,
Name,Ruin Maniac Rigger,,,,,
Pokémon,,,,,,
,Dragapult,Krookodile,Cloyster,Shelgon,,
Level,45 ,44 ,44 ,45 ,,
Held Item,Light Clay,Weakness Policy,Lum Berry,Eviolite,,
Ability,Cursed Body,Intimidate,Overcoat,Overcoat,,
Nature,Timid,Jolly,Naughty,Careful,,
Moves,Hex,Earthquake,Liquidation,Dragon Rush,,
,Dragon Breath,Power Trip,Frost Breath,Brick Break,,
,Light Screen,Rock Slide,Weather Ball,Facade,,
,Reflect,Bulk Up,Shell Smash,Dragon Dance,,
Name,Camper Drew,,,,,
Pokémon,,,,,,
,Hippowdon,Gogoat,Golem-Alola,Excadrill,,
Level,44 ,45 ,44 ,43 ,,
Held Item,Lum Berry,Leftovers,Lum Berry,Air Balloon,,
Ability,Sand Force,Sap Sipper,Rock Head,Sand Force,,
Nature,Careful,Impish,Jolly,Adamant,,
Moves,Earthquake,Horn Leech,Head Smash,High Horsepower,,
,Rock Slide,Earthquake,Wild Charge,Iron Head,,
,Curse,Rock Slide,Explosion,Rock Slide,,
,Slack Off,Leech Seed,Earthquake,Rock Polish,,
Name,Cool Trainer Wilton,,,,,
Pokémon,,,,,,
,Scizor,Tangrowth,Golisopod,Noctowl,Dugtrio,
Level,45 ,44 ,43 ,43 ,44 ,
Held Item,Occa Berry,Assault Vest,Assault Vest,Blunder Policy,Focus Sash,
Ability,Technician,Regenerator,Emergency Exit,Tinted Lens,Arena Trap,
Nature,Sassy,Sassy,Careful,Timid,Jolly,
Moves,U-turn,Leaf Storm,First Impression,Hurricane,Earthquake,
,Bullet Punch,Power Whip,Liquidation,Hyper Voice,Stone Edge,
,Dual Wingbeat,Sludge Bomb,Leech Life,Heat Wave,Night Slash,
,Knock Off,Knock Off,Rock Slide,Hypnosis,Hone Claws,
Name,Black Belt Daisuke,,,,,
Pokémon,,,,,,
,Passimian,Throh,Heracross,,,
Level,45 ,44 ,45 ,,,
Held Item,,Sitrus Berry,Flame Orb,,,
Ability,Defiant,Guts,Guts,,,
Nature,Jolly,Careful,Jolly,,,
Moves,Close Combat,Circle Throw,Close Combat,,,
,Rock Slide,Facade,Megahorn,,,
,Knock Off,Bulk Up,Retaliate,,,
,Acrobatics,Recover,Facade,,,
Name,Cool Trainer Brooke,,,,,
Pokémon,,,,,,
,Vanilluxe,Tentacruel,Dewgong,Magmortar,Beartic,
Level,45 ,44 ,44 ,44 ,44 ,
Held Item,Lum Berry,Safety Goggles,Leftovers,Safety Goggles,White Herb,
Ability,Snow Warning,Clear Body,Ice Body,Flame Body,Slush Rush,
Nature,Hasty,Hasty,Sassy,Naive,Adamant,
Moves,Blizzard,Surf,Blizzard,Flamethrower,Icicle Spear,
,Freeze-Dry,Poison Jab,Drill Run,Fire Spin,Superpower,
,Ice Shard,Blizzard,Protect,Scorching Sands,Rock Slide,
,Explosion,Toxic Spikes,Substitute,Weather Ball,Aqua Jet,
,Route 113,,,,,
Name,Pokémaniac Wyatt,,,,,
Pokémon,,,,,,
,Heliolisk,Salazzle,Kecleon,Dunsparce,,
Level,46 ,45 ,45 ,46 ,,
Held Item,Life Orb,Lum Berry,Assault Vest,Lum Berry,,
Ability,Dry Skin,Corrosion,Protean,Serene Grace,,
Nature,Timid,Timid,Impish,Careful,,
Moves,Hyper Voice,Flamethrower,Drain Punch,Headbutt,,
,Thunderbolt,Sludge Bomb,Knock Off,Coil,,
,Grass Knot,Hidden Power Grass,Power-Up Punch,Glare,,
,Magnet Rise,Nasty Plot,Shadow Sneak,Roost,,
Name,Ninja Boy Lao,,,,,
Pokémon,,,,,,
,Crobat,Muk-Alola,Weezing-Galar,,,
Level,46 ,45 ,45 ,,,
Held Item,Life Orb,Black Sludge,Black Sludge,,,
Ability,Inner Focus,Poison Touch,Levitate,,,
Nature,Hasty,Impish,Bold,,,
Moves,Brave Bird,Gunk Shot,Strange Steam,,,
,Sludge Bomb,Knock Off,Venoshock,,,
,Heat Wave,Ice Punch,Flamethrower,,,
,Giga Drain,Curse,Toxic,,,
Name,Picnicker Sophie,,,,,
Pokémon,,,,,,
,Slurpuff,Lickilicky,Appletun,Alcremie,,
Level,46 ,45 ,45 ,45 ,,
Held Item,Sitrus Berry,Lum Berry,Starf Berry,Leftovers,,
Ability,Unburden,Own Tempo,Gluttony,Sweet Veil,,
Nature,Timid,Jolly,Timid,Bold,,
Moves,Dazzling Gleam,Double-Edge,Dragon Pulse,Draining Kiss,,
,Flamethrower,Power Whip,Apple Acid,Mystical Fire,,
,Psychic,Brick Break,Leech Seed,Acid Armor,,
,Sticky Web,Knock Off,Recover,Calm Mind,,
Name,Ninja Boy Lung,,,,,
Pokémon,,,,,,
,Seviper,Accelgor,Greninja,,,
Level,46 ,45 ,45 ,,,
Held Item,Shuca Berry,Life Orb,,,,
Ability,Shed Skin,Sticky Hold,Protean,,,
Nature,Hasty,Timid,Hasty,,,
Moves,Sludge Bomb,Bug Buzz,Water Shuriken,,,
,Flamethrower,Focus Blast,Gunk Shot,,,
,Giga Drain,Water Shuriken,Acrobatics,,,
,Earthquake,Final Gambit,Low Kick,,,
Name,Rich Boy Santos,,,,,
Pokémon,,,,,,
,Ninetales,Mamoswine,Shiftry,Typhlosion,,
Level,46 ,45 ,44 ,45 ,,
Held Item,Lum Berry,Lum Berry,Lum Berry,Choice Scarf,,
Ability,Drought,Oblivious,Chlorophyll,Blaze,,
Nature,Timid,Jolly,Lonely,Modest,,
Moves,Flamethrower,Earthquake,Solar Blade,Eruption,,
,Solar Beam,Icicle Crash,Dark Pulse,,,
,Extrasensory,Ice Shard,Explosion,,,
,Hypnosis,Stealth Rock,Heat Wave,,,
Name,Twins Tori And Tia [Double],,,,,
Pokémon,,,,,,
,Scrafty,Bruxish,Gothitelle,Bisharp,,
Level,45 ,45 ,44 ,44 ,,
Held Item,Sitrus Berry,Lum Berry,Sitrus Berry,Lum Berry,,
Ability,Intimidate,Dazzling,Shadow Tag,Defiant,,
Nature,Jolly,Jolly,Timid,Jolly,,
Moves,Close Combat,Psychic Fangs,Psychic,Iron Head,,
,Knock Off,Liquidation,Signal Beam,Sucker Punch,,
,Foul Play,Crunch,Fake Out,Knock Off,,
,Fake Out,Bulk Up,Hypnosis,Low Kick,,
Name,Youngster Jaylen,,,,,
Pokémon,,,,,,
,Scyther,Talonflame,Tauros,,,
Level,45 ,45 ,45 ,,,
Held Item,Choice Band,Flying Gem,Lum Berry,,,
Ability,Technician,Flame Body,Sheer Force,,,
Nature,Jolly,Jolly,Jolly,,,
Moves,U-turn,Flare Blitz,Body Slam,,,
,Dual Wingbeat,Acrobatics,Close Combat,,,
,,Swords Dance,Zen Headbutt,,,
,,Will-O-Wisp,Throat Chop,,,
Name,Bird Keeper Coby,,,,,
Pokémon,,,,,,
,Golurk,Flapple,Vikavolt,,,
Level,45 ,45 ,46 ,,,
Held Item,Lum Berry,Starf Berry,Lum Berry,,,
Ability,Iron Fist,Gluttony,Levitate,,,
Nature,Jolly,Hasty,Timid,,,
Moves,Earthquake,Dragon Pulse,Bug Buzz,,,
,Shadow Punch,Grav Apple,Charge Beam,,,
,Hammer Arm,Acrobatics,Energy Ball,,,
,Stealth Rock,Dragon Dance,Agility,,,
Name,Parasol Lady Madeline,,,,,
Pokémon,,,,,,
,Raichu,Marowak-Alola,Rhyperior,,,
Level,45 ,44 ,44 ,,,
Held Item,Lum Berry,Thick Club,Leftovers,,,
Ability,Lightning Rod,Lightning Rod,Lightning Rod,,,
Nature,Hasty,Jolly,Careful,,,
Moves,Thunderbolt,Shadow Bone,Earthquake,,,
,Grass Knot,Fire Punch,Stone Edge,,,
,Extreme Speed,Bonemerang,High Horsepower,,,
,Fake Out,Low Kick,Helping Hand,,,
Name,Camper Lawrence,,,,,
Pokémon,,,,,,
,Staraptor,Lumineon,Gyarados,,,
Level,44 ,45 ,44 ,,,
Held Item,White Herb,Focus Sash,Leftovers,,,
Ability,Intimidate,Storm Drain,Intimidate,,,
Nature,Jolly,Hasty,Jolly,,,
Moves,Dual Wingbeat,Hydro Pump,Aqua Tail,,,
,Quick Attack,Ice Beam,Bounce,,,
,Close Combat,Air Slash,Dragon Dance,,,
,Roost,Flail,Substitute,,,
,Fallarbor,,,,,
Name,Winstrate Vito [Boss],,,,,
Pokémon,,,,,,
,Alakazam,Crobat,Breloom,Crawdaunt,Swellow,Aggron-Mega
Level,48 ,47 ,47 ,47 ,47 ,48 
Held Item,Focus Sash,Lum Berry,Fighting Gem,Water Gem,Life Orb,Aggronite
Ability,Inner Focus,Inner Focus,Technician,Adaptability,Scrappy,Filter
Nature,Timid,Timid,Jolly,Jolly,Hasty,Jolly
Moves,Psychic,Sludge Bomb,Sky Uppercut,Crabhammer,Boomburst,Iron Head
,Aura Sphere,Heat Wave,Mach Punch,Knock Off,Brave Bird,Earthquake
,Shadow Ball,Giga Drain,Bullet Seed,Aqua Jet,Heat Wave,Body Press
,Charge Beam,Nasty Plot,Spore,Close Combat,Quick Attack,Autotomize
,Route 114,,,,,
Name,Picnicker Charlotte,,,,,
Pokémon,,,,,,
,Dodrio,Ditto,Leafeon,,,
Level,48 ,54 ,48 ,,,
Held Item,Choice Band,Focus Sash,Leftovers,,,
Ability,Tangled Feet,Imposter,Leaf Guard,,,
Nature,Jolly,Bashful,Jolly,,,
Moves,Brave Bird,Transform,Leaf Blade,,,
,Double-Edge,,Knock Off,,,
,,,Grass Whistle,,,
,,,Swords Dance,,,
Name,Rich Boy Braw,,,,,
Pokémon,,,,,,
,Nidoking,Honchkrow,Mimikyu,Snorlax,,
Level,48 ,48 ,48 ,44 ,,
Held Item,Wide Lens,Lum Berry,Life Orb,Leftovers,,
Ability,Sheer Force,Super Luck,Disguise,Immunity,,
Nature,Timid,Hasty,Jolly,Impish,,
Moves,Earth Power,Brave Bird,Play Rough,Body Slam,,
,Blizzard,Pursuit,Shadow Claw,Earthquake,,
,Thunder,Superpower,Shadow Sneak,Heat Crash,,
,Lovely Kiss,Heat Wave,Will-O-Wisp,Curse,,
Name,Fisherman Nolan,,,,,
Pokémon,,,,,,
,Milotic,Starmie,,,,
Level,49 ,49 ,,,,
Held Item,Lum Berry,Wise Glasses,,,,
Ability,Marvel Scale,Analytic,,,,
Nature,Bold,Timid,,,,
Moves,Scald,Hydro Pump,,,,
,Ice Beam,Psychic,,,,
,Mirror Coat,Thunderbolt,,,,
,Recover,Grass Knot,,,,
Name,Fisherman Kai,,,,,
Pokémon,,,,,,
,Politoed,Barraskewda,Armaldo,Golisopod,,
Level,47 ,47 ,47 ,48 ,,
Held Item,Leftovers,Mystic Water,Lum Berry,Bug Gem,,
Ability,Drizzle,Swift Swim,Swift Swim,Emergency Exit,,
Nature,Bold,Adamant,Jolly,Adamant,,
Moves,Scald,Liquidation,Stone Edge,First Impression,,
,Psychic,Flip Turn,X-Scissor,Liquidation,,
,Protect,Aqua Jet,Liquidation,Leech Life,,
,Toxic,Close Combat,Swords Dance,Aqua Jet,,
Name,Fisherman Claude,,,,,
Pokémon,,,,,,
,Qwilfish,Vaporeon,Clawitzer,Empoleon,,
Level,48 ,49 ,48 ,48 ,,
Held Item,Focus Sash,Leftovers,Iapapa Berry,Leftovers,,
Ability,Intimidate,Water Absorb,Mega Launcher,Defiant,,
Nature,Jolly,Timid,Timid,Brave,,
Moves,Poison Jab,Scald,Water Pulse,Waterfall,,
,Waterfall,Ice Beam,Aura Sphere,Flash Cannon,,
,Explosion,Baton Pass,Dark Pulse,Earthquake,,
,Toxic Spikes,Substitute,Sleep Talk,Protect,,
Name,Kindler Bernie,,,,,
Pokémon,,,,,,
,Rotom-Heat,Simisear,Skuntank,Druddigon,,
Level,49 ,49 ,48 ,48 ,,
Held Item,White Herb,Starf Berry,Fire Gem,Rocky Helmet,,
Ability,Levitate,Gluttony,Aftermath,Rough Skin,,
Nature,Timid,Hasty,Hasty,Sassy,,
Moves,Overheat,Fire Blast,Sludge Bomb,Dragon Rush,,
,Thunderbolt,Focus Blast,Knock Off,Flamethrower,,
,Hidden Power Ice,Acrobatics,Explosion,Iron Head,,
,Nasty Plot,Substitute,Fire Blast,Glare,,
Name,Picnicker Angelina,,,,,
Pokémon,,,,,,
,Donphan,Gallade,Purugly,,,
Level,48 ,49 ,49 ,,,
Held Item,Custap Berry,Leftovers,Silk Scarf,,,
Ability,Sturdy,Inner Focus,Defiant,,,
Nature,Adamant,Jolly,Jolly,,,
Moves,Earthquake,Zen Headbutt,Double-Edge,,,
,Stone Edge,Drain Punch,Stomping Tantrum,,,
,Knock Off,Hypnosis,Super Fang,,,
,Endeavor,Will-O-Wisp,Hypnosis,,,
Name,Expert Nancy,,,,,
Pokémon,,,,,,
,Bronzong,Eldegoss,Sirfetch’d,Drampa,Dugtrio,
Level,50 ,49 ,49 ,49 ,49 ,
Held Item,Iron Ball,Eject Button,Leek,Lum Berry,Soft Sand,
Ability,Levitate,Cotton Down,Scrappy,Berserk,Arena Trap,
Nature,Brave,Bold,Jolly,Modest,Jolly,
Moves,Gyro Ball,Leaf Storm,Meteor Assault,Hyper Voice,Earthquake,
,Explosion,Pollen Puff,Brick Break,Dragon Pulse,Stone Edge,
,Earthquake,Leech Seed,Leaf Blade,Glare,Night Slash,
,Trick,Sleep Powder,Night Slash,Roost,Final Gambit,
Name,Sr. And Jr. Tyra And Ivy [Double],,,,,
Pokémon,,,,,,
,Klefki,Houndoom,Grimmsnarl,Pyroar,,
Level,50 ,50 ,49 ,50 ,,
Held Item,Occa Berry,Life Orb,Sitrus Berry,Normal Gem,,
Ability,Prankster,Unnerve,Prankster,Unnerve,,
Nature,Timid,Timid,Jolly,Hasty,,
Moves,Foul Play,Foul Play,Foul Play,Retaliate,,
,Swagger,Burning Jealousy,Spirit Break,Hyper Voice,,
,,Sludge Bomb,Fake Out,Burning Jealousy,,
,,Protect,Swagger,Protect,,
Name,Pokémaniac Steve,,,,,
Pokémon,,,,,,
,Muk,Polteageist,,,,
Level,50 ,50 ,,,,
Held Item,Shuca Berry,White Herb,,,,
Ability,Poison Touch,Cursed Body,,,,
Nature,Adamant,Timid,,,,
Moves,Gunk Shot,Shadow Ball,,,,
,Explosion,Giga Drain,,,,
,Fire Punch,Stored Power,,,,
,Ice Punch,Shell Smash,,,,
Name,Hiker Lucas,,,,,
Pokémon,,,,,,
,Steelix,Relicanth,Gliscor,,,
Level,49 ,50 ,50 ,,,
Held Item,Iapapa Berry,Lum Berry,Toxic Orb,,,
Ability,Sturdy,Sturdy,Poison Heal,,,
Nature,Brave,Jolly,Careful,,,
Moves,Earthquake,Stone Edge,Earthquake,,,
,Gyro Ball,Liquidation,Facade,,,
,Body Press,Flail,Protect,,,
,Stealth Rock,Rock Polish,Roost,,,
Name,Hiker Lenny,,,,,
Pokémon,,,,,,
,Ferrothorn,Cradily,Whiscash,,,
Level,50 ,50 ,51 ,,,
Held Item,Occa Berry,Leftovers,Power Herb,,,
Ability,Iron Barbs,Suction Cups,Oblivious,,,
Nature,Brave,Bold,Jolly,,,
Moves,Power Whip,Ancient Power,Earthquake,,,
,Gyro Ball,Earth Power,Aqua Tail,,,
,Knock Off,Cosmic Power,Bounce,,,
,Thunder Wave,Rest,Dragon Dance,,,
,Route 115,,,,,
Name,Black Belt Nob,,,,,
Pokémon,,,,,,
,Mienshao,Bewear,,,,
Level,51 ,52 ,,,,
Held Item,Life Orb,Sitrus Berry,,,,
Ability,Inner Focus,Fluffy,,,,
Nature,Hasty,Adamant,,,,
Moves,High Jump Kick,Hammer Arm,,,,
,Stone Edge,Body Slam,,,,
,Poison Jab,Retaliate,,,,
,Grass Knot,Counter,,,,
Name,Battle Girl Cyndy,,,,,
Pokémon,,,,,,
,Grapploct,Breloom,Hitmontop,,,
Level,51 ,52 ,51 ,,,
Held Item,Leftovers,Toxic Orb,Life Orb,,,
Ability,Limber,Poison Heal,Technician,,,
Nature,Impish,Jolly,Adamant,,,
Moves,Drain Punch,Drain Punch,Mach Punch,,,
,Skitter Smack,Facade,Bullet Punch,,,
,Octolock,Bulk Up,Fake Out,,,
,Protect,Protect,Triple Axel,,,
Name,Psychic Marlene,,,,,
Pokémon,,,,,,
,Mr. Rime,Cofagrigus,,,,
Level,52 ,52 ,,,,
Held Item,Lum Berry,Leftovers,,,,
Ability,Screen Cleaner,Mummy,,,,
Nature,Timid,Bold,,,,
Moves,Ice Beam,Hex,,,,
,Psyshock,Body Press,,,,
,Teeter Dance,Will-O-Wisp,,,,
,Thunder Wave,Rest,,,,
Name,Collector Hector,,,,,
Pokémon,,,,,,
,Heatmor,Durant,Slowking,Zangoose,,
Level,52 ,51 ,51 ,51 ,,
Held Item,Expert Belt,Lum Berry,Leftovers,Toxic Orb,,
Ability,White Smoke,Hustle,Regenerator,Toxic Boost,,
Nature,Hasty,Jolly,Modest,Jolly,,
Moves,Flare Blitz,Iron Head,Psychic,Facade,,
,Focus Blast,X-Scissor,Surf,Close Combat,,
,Thunder Punch,Rock Slide,Slack Off,Night Slash,,
,Grass Knot,Hone Claws,Toxic,Detect,,
,Route 112,,,,,
Name,Kindler Bryant & Aroma Lady Shayla [Double],,,,,
Pokémon,,,,,,
,Torkoal,Charizard,,Leafeon,Venusaur,
Level,50 ,50 ,,51 ,51 ,
Held Item,Lum Berry,Iapapa Berry,,Grass Gem,Life Orb,
Ability,Drought,Solar Power,,Chlorophyll,Chlorophyll,
