,Seashore House,,,,,
Name,Tuber Simon,,,,,
Pokémon,,,,,,
,Floatzel,Azumarill,Dedenne,Zangoose,Persian,Ludicolo
Level,58 ,57 ,58 ,57 ,58 ,58 
Held Item,Flame Orb,Assault Vest,Petaya Berry,Toxic Orb,Leftovers,Lum Berry
Ability,Water Veil,Huge Power,Cheek Pouch,Toxic Boost,Unnerve,Own Tempo
Nature,Hasty,Jolly,Timid,Jolly,Timid,Jolly
Moves,Aqua Tail,Play Rough,Thunderbolt,Last Resort,Hyper Voice,Waterfall
,Ice Beam,Aqua Tail,Dazzling Gleam,Retaliate,Hypnosis,Seed Bomb
,Knock Off,Aqua Jet,Grass Knot,,Nasty Plot,Earthquake
,Switcheroo,Ice Punch,Endure,,Substitute,Swords Dance
Name,Beauty Johanna,,,,,
Pokémon,,,,,,
,Nidoqueen,Lapras,Milotic,Primarina,Bruxish,Tsareena
Level,58 ,58 ,58 ,58 ,58 ,58 
Held Item,Black Sludge,Leftovers,Leftovers,Leftovers,Water Gem,Wide Lens
Ability,Sheer Force,Shell Armor,Marvel Scale,Torrent,Strong Jaw,Queenly Majesty
Nature,Bold,Bold,Sassy,Bold,Jolly,Jolly
Moves,Sludge Wave,Freeze-Dry,Aqua Tail,Scald,Aqua Tail,Power Whip
,Earth Power,Thunderbolt,Dragon Tail,Draining Kiss,Psychic Fangs,High Jump Kick
,Lovely Kiss,Protect,Coil,Calm Mind,Crunch,Knock Off
,Toxic Spikes,Roar,Rest,Protect,Screech,Triple Axel
Name,Sailor Dwayne,,,,,
Pokémon,,,,,,
,Clawitzer,Gyarados,Barbaracle,Sharpedo,Swalot,Machamp
Level,58 ,58 ,58 ,58 ,59 ,59 
Held Item,Lum Berry,Wacan Berry,White Herb,Dark Gem,Custap Berry,Adrenaline Orb
Ability,Mega Launcher,Intimidate,Sniper,Speed Boost,Gluttony,No Guard
Nature,Quiet,Adamant,Jolly,Mild,Careful,Jolly
Moves,Water Pulse,Waterfall,Stone Edge,Hydro Pump,Gunk Shot,Dynamic Punch
,Dragon Pulse,Earthquake,Razor Shell,Dark Pulse,Explosion,Stone Edge
,Aura Sphere,Lash Out,Cross Chop,Close Combat,Earthquake,Poison Jab
,Aqua Jet,Thunder Wave,Shell Smash,Destiny Bond,Curse,Knock Off
,Route 105,,,,,
Name,Swimmer♀ Imani [Optional],,,,,
Pokémon,,,,,,
,Lumineon,Bruxish,,,,
Level,50 ,50 ,,,,
Held Item,,,,,,
Ability,Swift Swim,Dazzling,,,,
Nature,Bashful,Bashful,,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Swimmer♂ Dominik [Optional],,,,,
Pokémon,,,,,,
,Barraskewda,Wailord,,,,
Level,50 ,50 ,,,,
Held Item,,,,,,
Ability,Swift Swim,Water Veil,,,,
Nature,Bashful,Bashful,,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Ruin Maniac Foster [Optional],,,,,
Pokémon,,,,,,
,Corviknight,Ambipom,Exeggutor-Alola,,,
Level,50 ,50 ,50 ,,,
Held Item,,,,,,
Ability,Pressure,Technician,Harvest,,,
Nature,Bashful,Bashful,Bashful,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Swimmer♀ Beverly [Optional],,,,,
Pokémon,,,,,,
,Dratini,Dratini,,,,
Level,70 ,70 ,,,,
Held Item,,,,,,
Ability,Shed Skin,Shed Skin,,,,
Nature,Bashful,Bashful,,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Swimmer♂ Luis [Optional],,,,,
Pokémon,,,,,,
,Barraskewda,Clawitzer,Crawdaunt,,,
Level,50 ,50 ,50 ,,,
Held Item,,,,,,
Ability,Swift Swim,Mega Launcher,Hyper Cutter,,,
Nature,Bashful,Bashful,Bashful,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Bird Keeper Josue & Ruin Maniac Andres [Double],,,,,
Pokémon,,,,,,
,Hawlucha,Gliscor,Beedrill-Mega,Aurorus,Wyrdeer,Gastrodon
Level,64 ,64 ,65 ,64 ,64 ,64 
Held Item,Focus Sash,Yache Berry,Beedrillite,Power Herb,Light Clay,Iapapa Berry
Ability,Mold Breaker,Hyper Cutter,Adaptability,Refrigerate,Intimidate,Storm Drain
Nature,Jolly,Jolly,Adamant,Timid,Timid,Modest
Moves,Close Combat,High Horsepower,Poison Jab,Meteor Beam,Psychic,Earth Power
,Dual Wingbeat,Dual Wingbeat,X-Scissor,Hyper Voice,Hyper Voice,Muddy Water
,Reversal,Rock Slide,Drill Run,Freeze-Dry,Light Screen,Ice Beam
,Endeavor,Swords Dance,Protect,Icy Wind,Reflect,Recover
,Route 106,,,,,
Name,Swimmer♂ Douglas [Optional],,,,,
Pokémon,,,,,,
,Walrein,Drednaw,,,,
Level,50 ,50 ,,,,
Held Item,,,,,,
Ability,Thick Fat,Strong Jaw,,,,
Nature,Bashful,Bashful,,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
