,Route 120,,,,,
Name,Bird Keeper Colin,,,,,
Pokémon,,,,,,
,Aerodactyl,Charizard,Empoleon,,,
Level,68 ,69 ,68 ,,,
Held Item,Passho Berry,Focus Sash,Water Gem,,,
Ability,Unnerve,Blaze,Defiant,,,
Nature,Jolly,Timid,Jolly,,,
Moves,Stone Edge,Burn Up,Iron Head,,,
,Aqua Tail,Hurricane,Aqua Jet,,,
,Substitute,Weather Ball,Drill Peck,,,
,Swagger,Counter,Swords Dance,,,
Name,Cool Trainer Gian,,,,,
Pokémon,,,,,,
,Drifblim,Swampert,Duraludon,Alakazam,Alcremie,
Level,69 ,69 ,68 ,68 ,70 ,
Held Item,Colbur Berry,Rindo Berry,Leftovers,Focus Sash,Babiri Berry,
Ability,Aftermath,Torrent,Heavy Metal,Inner Focus,Sweet Veil,
Nature,Timid,Adamant,Relaxed,Timid,Bold,
Moves,Air Slash,Liquidation,Draco Meteor,Psychic,Draining Kiss,
,Explosion,Flip Turn,Dragon Tail,Dazzling Gleam,Stored Power,
,Thunder,Earthquake,Heavy Slam,Signal Beam,Acid Armor,
,Weather Ball,Stealth Rock,Body Press,Counter,Calm Mind,
Name,Cool Trainer Jennifer & Battle Girl Callie [Double],,,,,
Pokémon,,,,,,
,Metagross,Ursaring,Zebstrika,,Sawk,Poliwrath
Level,69 ,69 ,70 ,,70 ,70 
Held Item,Assault Vest,Toxic Orb,Life Orb,,Lum Berry,Lum Berry
Ability,Clear Body,Quick Feet,Lightning Rod,,Sturdy,Swift Swim
Nature,Jolly,Jolly,Jolly,,Jolly,Lonely
Moves,Meteor Mash,Facade,Zing Zap,,Close Combat,Close Combat
,Zen Headbutt,Retaliate,High Horsepower,,Throat Chop,Hydro Pump
,Thunder Punch,Gunk Shot,Low Kick,,Coaching,Coaching
,Icy Wind,High Horsepower,Magnet Rise,,Protect,Hypnosis
Name,Parasol Lady Angelica,,,,,
Pokémon,,,,,,
,Stunfisk,Chansey,Mismagius,Musharna,,
Level,70 ,71 ,69 ,69 ,,
Held Item,Lum Berry,Eviolite,Ghost Gem,Colbur Berry,,
Ability,Static,Natural Cure,Levitate,Synchronize,,
Nature,Relaxed,Bold,Timid,Bold,,
Moves,Earthquake,Seismic Toss,Shadow Ball,Psychic,,
,Discharge,Counter,Dazzling Gleam,Moonblast,,
,Scald,Soft-Boiled,Mystical Fire,Calm Mind,,
,Stealth Rock,Toxic,Nasty Plot,Dark Void,,
Name,Ranger Jenna,,,,,
Pokémon,,,,,,
,Dragalge,Pangoro,Gothitelle,Lilligant,,
Level,69 ,69 ,70 ,69 ,,
Held Item,Shuca Berry,Eject Pack,Focus Sash,Leftovers,,
Ability,Adaptability,Scrappy,Shadow Tag,Own Tempo,,
Nature,Modest,Jolly,Timid,Bold,,
Moves,Sludge Wave,Close Combat,Psychic,Petal Dance,,
,Dragon Pulse,Knock Off,Thunderbolt,Sleep Powder,,
,Scald,Gunk Shot,Mystical Fire,Synthesis,,
,Toxic Spikes,,Grass Knot,Quiver Dance,,
Name,Ranger Lorenzo,,,,,
Pokémon,,,,,,
,Golisopod,Appletun,Miltank,Mr. Mime,,
Level,69 ,70 ,70 ,70 ,,
Held Item,Bug Gem,Lum Berry,White Herb,Life Orb,,
Ability,Emergency Exit,Thick Fat,Scrappy,Filter,,
Nature,Adamant,Bold,Jolly,Timid,,
Moves,First Impression,Apple Acid,Body Slam,Moonblast,,
,Liquidation,Body Press,Body Press,Psychic,,
,Leech Life,Iron Defense,Zen Headbutt,Mystical Fire,,
,Knock Off,Recover,Curse,Grass Knot,,
Name,Bug Maniac Jeffrey,,,,,
Pokémon,,,,,,
,Vivillon,Vivillon,Vivillon,,,
Level,73 ,73 ,73 ,,,
Held Item,Focus Sash,Focus Sash,Life Orb,,,
Ability,Shield Dust,Shield Dust,Compound Eyes,,,
Nature,Timid,Timid,Timid,,,
Moves,Air Slash,Bug Buzz,Hurricane,,,
,Energy Ball,Air Slash,Bug Buzz,,,
,Electroweb,Psychic,Quiver Dance,,,
,Endeavor,Quiver Dance,Sleep Powder,,,
Name,Ruin Maniac Chip,,,,,
Pokémon,,,,,,
,Armaldo,Cradily,Tyrantrum,Aurorus,,
Level,70 ,70 ,69 ,69 ,,
Held Item,Iapapa Berry,Leftovers,Dragon Gem,Ice Gem,,
Ability,Battle Armor,Suction Cups,Rock Head,Refrigerate,,
Nature,Jolly,Careful,Jolly,Timid,,
Moves,Leech Life,Power Whip,Head Smash,Hyper Voice,,
,Rock Tomb,Rock Slide,Scale Shot,Freeze-Dry,,
,Knock Off,Curse,Earthquake,Earth Power,,
,Stealth Rock,Rest,Substitute,Substitute,,
Name,Ninja Boy Keigo,,,,,
Pokémon,,,,,,
,Lickilicky,Cursola,Glalie,Zoroark,,
Level,69 ,70 ,70 ,70 ,,
Held Item,Chople Berry,Custap Berry,Leftovers,Dark Gem,,
Ability,Own Tempo,Perish Body,Moody,Illusion,,
Nature,Adamant,Quiet,Hasty,Timid,,
Moves,Explosion,Shadow Ball,Freeze-Dry,Night Daze,,
,Body Slam,Explosion,Icy Wind,Flamethrower,,
,Power Whip,Hydro Pump,Explosion,Aura Sphere,,
,Knock Off,Endure,Protect,Nasty Plot,,
Name,Ninja Boy Riley,,,,,
Pokémon,,,,,,
,Greninja,Dugtrio,Bisharp,Durant,,
Level,70 ,70 ,69 ,70 ,,
Held Item,Life Orb,Ground Gem,Black Glasses,Focus Sash,,
Ability,Protean,Arena Trap,Defiant,Swarm,,
Nature,Naive,Jolly,Jolly,Jolly,,
Moves,Hydro Pump,Earthquake,Iron Head,X-Scissor,,
,Gunk Shot,Stone Edge,Sucker Punch,Rock Slide,,
,Ice Beam,Final Gambit,Pursuit,Superpower,,
,Extrasensory,Memento,Zen Headbutt,Swords Dance,,
,Route 121,,,,,
Name,Cool Trainer Tammy & Bug Maniac Cale [Double],,,,,
Pokémon,,,,,,
,Slaking,Archeops,,Weezing-Galar,Weezing,
Level,70 ,70 ,,71 ,72 ,
Held Item,Lum Berry,Rock Gem,,Air Balloon,Air Balloon,
Ability,Truant,Defeatist,,Neutralizing Gas,Neutralizing Gas,
Nature,Jolly,Jolly,,Sassy,Hasty,
Moves,Return,Head Smash,,Gunk Shot,Sludge Bomb,
,Earthquake,Rock Slide,,Strange Steam,Fire Blast,
,Fire Punch,Dual Wingbeat,,Assurance,Assurance,
,Knock Off,Earthquake,,Protect,Protect,
Name,Beauty Jessica,,,,,
Pokémon,,,,,,
,Froslass,Jynx,Florges,Kangaskhan,,
Level,71 ,69 ,70 ,70 ,,
Held Item,Ice Gem,Expert Belt,Leftovers,Leftovers,,
Ability,Cursed Body,Dry Skin,Flower Veil,Scrappy,,
Nature,Timid,Timid,Bold,Jolly,,
Moves,Blizzard,Ice Beam,Moonblast,Double-Edge,,
,Shadow Ball,Psychic,Psychic,Earthquake,,
,Freeze-Dry,Aura Sphere,Double Team,Drain Punch,,
,Spikes,Lovely Kiss,Protect,Sing,,
Name,Breeder Pat,,,,,
Pokémon,,,,,,
,Sudowoodo,Porygon2,Magneton,Garbodor,Coalossal,
Level,70 ,69 ,70 ,70 ,71 ,
Held Item,Custap Berry,Eviolite,Eviolite,Shuca Berry,Fire Gem,
Ability,Sturdy,Download,Magnet Pull,Weak Armor,Steam Engine,
Nature,Adamant,Modest,Timid,Jolly,Modest,
Moves,Stone Edge,Tri Attack,Thunderbolt,Gunk Shot,Burn Up,
,Explosion,Psychic,Flash Cannon,Explosion,Power Gem,
,Earthquake,Dark Pulse,Hidden Power Grass,Seed Bomb,Earth Power,
,Flail,Agility,Magnet Rise,Drain Punch,Will-O-Wisp,
Name,Breeder Myles,,,,,
Pokémon,,,,,,
,Pyroar,Oranguru,Passimian,Mudsdale,Furret,
Level,71 ,69 ,70 ,69 ,72 ,
Held Item,Power Herb,Colbur Berry,Lum Berry,Leftovers,Dark Gem,
Ability,Unnerve,Inner Focus,Defiant,Stamina,Keen Eye,
Nature,Timid,Bold,Jolly,Careful,Jolly,
Moves,Fire Blast,Psychic,Close Combat,Earthquake,Double-Edge,
,Hyper Voice,Aura Sphere,Iron Tail,Body Press,Sucker Punch,
,Solar Beam,Shadow Ball,Knock Off,Smack Down,Baton Pass,
,Scorching Sands,Calm Mind,Rock Slide,Substitute,Swords Dance,
Name,Cool Trainer Gustavo,,,,,
Pokémon,,,,,,
,Eelektross,Conkeldurr,Jellicent,Scrafty,Hydreigon,
Level,70 ,70 ,71 ,71 ,70 ,
