,Mossdeep Space Center,,,,,
Name,Team Magma Grunt Space Center #1,,,,,
Pokémon,,,,,,
,Steelix,Appletun,Zebstrika,Corviknight,Simisear,
Level,84 ,83 ,84 ,84 ,85 ,
Held Item,Bright Powder,Lum Berry,Focus Band,Weakness Policy,Focus Band,
Ability,Sturdy,Thick Fat,Sap Sipper,Unnerve,Blaze,
Nature,Brave,Modest,Naive,Careful,Timid,
Moves,Earthquake,Dragon Pulse,Zing Zap,Body Press,Flamethrower,
,Gyro Ball,Apple Acid,Overheat,Power Trip,Hidden Power Ice,
,Explosion,Leech Seed,High Horsepower,Iron Defense,Grass Knot,
,Stealth Rock,Recover,Low Kick,Agility,Nasty Plot,
Name,Team Magma Grunt Space Center #2,,,,,
Pokémon,,,,,,
,Scrafty,Duraludon,Exeggutor,Aerodactyl,Darmanitan,Weavile
Level,85 ,84 ,85 ,84 ,86 ,86 
Held Item,Assault Vest,Iapapa Berry,Quick Claw,Scope Lens,Life Orb,Bright Powder
Ability,Intimidate,Heavy Metal,Chlorophyll,Unnerve,Sheer Force,Inner Focus
Nature,Adamant,Relaxed,Quiet,Jolly,Jolly,Jolly
Moves,Close Combat,Draco Meteor,Psychic,Stone Edge,Flare Blitz,Night Slash
,Knock Off,Heavy Slam,Grass Knot,Dual Wingbeat,Earthquake,Ice Shard
,Stone Edge,Body Press,Explosion,Earthquake,Rock Slide,Low Kick
,Counter,Stealth Rock,Sleep Powder,Dragon Dance,Reversal,Swords Dance
Name,Team Magma Grunt Space Center #3,,,,,
Pokémon,,,,,,
,Diggersby,Silvally-Grass,Ribombee,Arcanine,Klinklang,
Level,85 ,85 ,85 ,86 ,86 ,
Held Item,Quick Claw,Grass Memory,Focus Band,Bright Powder,Choice Band,
Ability,Huge Power,RKS System,Shield Dust,Intimidate,Clear Body,
Nature,Adamant,Naive,Modest,Jolly,Jolly,
Moves,Double-Edge,Multi-Attack,Moonblast,Flare Blitz,Gear Grind,
,Earthquake,Flamethrower,Bug Buzz,Close Combat,,
,Fire Punch,Ice Beam,Hidden Power Fire,Wild Charge,,
,Knock Off,Imprison,Quiver Dance,Extreme Speed,,
Name,Magma Admin Courtney,,,,,
Pokémon,,,,,,
,Shaymin,Dugtrio,Tyrantrum,Xurkitree,Buzzwole,Charizard-Mega-X
Level,87 ,86 ,86 ,87 ,87 ,87 
Held Item,Life Orb,Ground Gem,Focus Sash,Leftovers,Assault Vest,Charizardite X
Ability,Natural Cure,Arena Trap,Rock Head,Beast Boost,Beast Boost,Tough Claws
Nature,Timid,Jolly,Adamant,Timid,Jolly,Jolly
Moves,Seed Flare,Earthquake,Head Smash,Thunderbolt,Leech Life,Flare Blitz
,Earth Power,Final Gambit,Scale Shot,Grass Knot,Drain Punch,Dragon Claw
,Hidden Power Ice,Memento,Close Combat,Hypnosis,Stone Edge,Dragon Dance
,Grass Whistle,Stealth Rock,Rock Polish,Substitute,Ice Punch,Roost
Name,Team Magma Grunt Space Center #5,,,,,
Pokémon,,,,,,
,Armaldo,Rotom-Heat,,,,
Level,84 ,85 ,,,,
Held Item,Bright Powder,White Herb,,,,
Ability,Battle Armor,Levitate,,,,
Nature,Adamant,Timid,,,,
Moves,Leech Life,Overheat,,,,
,Rock Blast,Thunderbolt,,,,
,Earthquake,Will-O-Wisp,,,,
,Swords Dance,Thunder Wave,,,,
Name,Team Magma Grunt Space Center #6,,,,,
Pokémon,,,,,,
,Machamp,Talonflame,,,,
Level,85 ,85 ,,,,
Held Item,Quick Claw,Flying Gem,,,,
Ability,No Guard,Flame Body,,,,
Nature,Adamant,Jolly,,,,
Moves,Dynamic Punch,Flare Blitz,,,,
,Stone Edge,Acrobatics,,,,
,Knock Off,Swords Dance,,,,
,Bulk Up,Will-O-Wisp,,,,
Name,Team Magma Grunt Space Center #7,,,,,
Pokémon,,,,,,
,Bisharp,Weezing-Galar,Guzzlord,,,
Level,85 ,85 ,86 ,,,
Held Item,Lum Berry,Black Sludge,Focus Band,,,
Ability,Defiant,Levitate,Beast Boost,,,
Nature,Jolly,Timid,Adamant,,,
Moves,Iron Head,Sludge Bomb,Dragon Rush,,,
,Pursuit,Flamethrower,Knock Off,,,
,Psycho Cut,Protect,Heavy Slam,,,
,Low Kick,Will-O-Wisp,Earthquake,,,
Name,Magma Leader Maxie & Magma Admin Tabitha [Tag Battle] [Boss],,,,,
Pokémon,,,,,,
,Landorus,Heatran,Garchomp-Mega,Tyranitar-Mega,Ferrothorn,Moltres
Level,88 ,88 ,89 ,89 ,88 ,88 
Held Item,Life Orb,Air Balloon,Garchompite,Tyranitarite,Rocky Helmet,Fire Gem
Ability,Sheer Force,Flash Fire,Sand Force,Sand Stream,Iron Barbs,Flame Body
Nature,Timid,Timid,Jolly,Adamant,Impish,Timid
Moves,Earth Power,Magma Storm,High Horsepower,Crunch,Power Whip,Burn Up
,Psychic,Heat Wave,Scale Shot,Low Kick,Body Press,Hurricane
,Weather Ball,Flash Cannon,Stone Edge,Heavy Slam,Knock Off,Detect
,Protect,Earth Power,Protect,Taunt,Leech Seed,Tailwind
Name,Trainer Steven [Tag Partner],,,,,
Pokémon,,,,,,
,Dialga,Metagross,Steelix-Mega,,,
Level,90 ,89 ,90 ,,,
Held Item,Dragon Gem,Life Orb,Steelixite,,,
Ability,Telepathy,Clear Body,Sand Force,,,
Nature,Quiet,Brave,Brave,,,
Moves,Dragon Pulse,Meteor Mash,High Horsepower,,,
,Flamethrower,Hammer Arm,Heavy Slam,,,
,Aura Sphere,Ice Punch,Body Press,,,
,Trick Room,Trick Room,Rock Slide,,,
,Route 124,,,,,
Name,Sis And Bro Lila And Roy [Double],,,,,
Pokémon,,,,,,
,Ludicolo,Starmie,Dragonite,Stoutland,Lanturn,Blastoise
Level,86 ,86 ,85 ,86 ,86 ,87 
Held Item,Focus Sash,Life Orb,Lum Berry,Normal Gem,Life Orb,Lum Berry
Ability,Own Tempo,Analytic,Inner Focus,Scrappy,Volt Absorb,Torrent
Nature,Timid,Timid,Jolly,Jolly,Modest,Timid
Moves,Energy Ball,Hydro Pump,Dragon Rush,Last Resort,Hydro Pump,Muddy Water
,Scald,Blizzard,Dual Wingbeat,Retaliate,Thunder,Focus Blast
,Icy Wind,Thunder,Aqua Tail,,Ice Beam,Icy Wind
,Fake Out,Grass Knot,Thunder Wave,,Protect,Fake Out
,Route 126,,,,,
Name,Swimmer♂ Dean,,,,,
Pokémon,,,,,,
,Crustle,Turtonator,Polteageist,Minior,Shuckle,Smeargle
Level,86 ,86 ,86 ,86 ,86 ,87 
Held Item,White Herb,White Herb,White Herb,Flying Gem,Leftovers,Focus Sash
Ability,Sturdy,Shell Armor,Cursed Body,Shields Down,Contrary,Moody
Nature,Jolly,Timid,Timid,Jolly,Relaxed,Timid
Moves,Stone Edge,Flamethrower,Shadow Ball,Stone Edge,Infestation,Boomburst
,Leech Life,Dragon Pulse,Giga Drain,Acrobatics,Knock Off,Dark Pulse
,Earthquake,Scorching Sands,Stored Power,Earthquake,Rest,Shell Smash
,Shell Smash,Shell Smash,Shell Smash,Shell Smash,Shell Smash,Spore
Name,Swimmer♀ Sienna [Optional],,,,,
Pokémon,,,,,,
,Sharpedo,Gyarados,,,,
Level,75 ,75 ,,,,
Held Item,,,,,,
Ability,Rough Skin,Intimidate,,,,
Nature,Bashful,Bashful,,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Swimmer♂ Leonardo [Optional],,,,,
Pokémon,,,,,,
,Kingdra,Starmie,,,,
Level,75 ,75 ,,,,
Held Item,,,,,,
Ability,Swift Swim,Natural Cure,,,,
Nature,Bashful,Bashful,,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Triathlete Isobel [Optional],,,,,
Pokémon,,,,,,
,Cradily,Aerodactyl,,,,
Level,75 ,75 ,,,,
Held Item,,,,,,
Ability,Suction Cups,Rock Head,,,,
Nature,Bashful,Bashful,,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Swimmer♀ Brenda [Optional],,,,,
Pokémon,,,,,,
,Golduck,Milotic,,,,
Level,75 ,75 ,,,,
Held Item,,,,,,
Ability,Swift Swim,Marvel Scale,,,,
Nature,Bashful,Bashful,,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Swimmer♀ Nikki [Optional],,,,,
Pokémon,,,,,,
,Gorebyss,Huntail,,,,
Level,75 ,75 ,,,,
Held Item,,,,,,
Ability,Swift Swim,Swift Swim,,,,
Nature,Bashful,Bashful,,,,
Moves,,,,,,
,,,,,,
,,,,,,
,,,,,,
Name,Swimmer♂ Barry [Optional],,,,,
Pokémon,,,,,,
,Gastrodon,Masquerain,Floatzel,,,
Level,75 ,75 ,75 ,,,
Held Item,,,,,,
Ability,Sticky Hold,Intimidate,Swift Swim,,,
