,Victory Road,,,,,
Name,Trainer Wally,,,,,
Pokémon,,,,,,
,Vikavolt,Roserade,Azumarill,Genesect,Obstagoon,Gardevoir-Mega
Level,94 ,94 ,94 ,95 ,95 ,95 
Held Item,Focus Sash,Life Orb,Sitrus Berry,Focus Sash,Flame Orb,Gardevoirite
Ability,Levitate,Technician,Huge Power,Download,Guts,Pixilate
Nature,Modest,Timid,Jolly,Hasty,Jolly,Timid
Moves,Thunderbolt,Sludge Bomb,Play Rough,Bug Buzz,Facade,Psychic
,Bug Buzz,Grass Knot,Aqua Jet,Flash Cannon,Knock Off,Hyper Voice
,Energy Ball,Dazzling Gleam,Knock Off,Explosion,Cross Chop,Mystical Fire
,Sticky Web,Hidden Power Fire,Belly Drum,Flamethrower,Bulk Up,Calm Mind
Name,Cool Trainer Hope & Cool Trainer Albert [Double],,,,,
Pokémon,,,,,,
,Mamoswine,Donphan,Venusaur-Mega,Aerodactyl-Mega,Staraptor,Hydreigon
Level,94 ,93 ,95 ,95 ,93 ,94 
Held Item,Lum Berry,Custap Berry,Venusaurite,Aerodactylite,Flying Gem,Fire Gem
Ability,Oblivious,Sturdy,Thick Fat,Tough Claws,Intimidate,Levitate
Nature,Naive,Adamant,Naive,Jolly,Jolly,Timid
Moves,Earthquake,Earthquake,Sludge Bomb,Rock Slide,Double-Edge,Dragon Pulse
,Icicle Crash,Stone Edge,Giga Drain,Dual Wingbeat,Acrobatics,Dark Pulse
,Freeze-Dry,Knock Off,Earthquake,Fire Fang,Close Combat,Heat Wave
,Knock Off,Endeavor,Sleep Powder,Tailwind,Tailwind,Tailwind
Name,Cool Trainer Katelynn,,,,,
Pokémon,,,,,,
,Walrein,Yanmega,Ludicolo,Dugtrio,Magnezone,Pinsir-Mega
Level,93 ,93 ,94 ,94 ,94 ,95 
Held Item,Lum Berry,Leftovers,Eject Pack,Life Orb,Air Balloon,Pinsirite
Ability,Thick Fat,Speed Boost,Own Tempo,Arena Trap,Magnet Pull,Aerilate
Nature,Bold,Timid,Timid,Jolly,Quiet,Jolly
Moves,Ice Beam,Bug Buzz,Leaf Storm,Earthquake,Flash Cannon,Earthquake
,Scald,Air Slash,Scald,Stone Edge,Discharge,Frustration
,Whirlpool,Hypnosis,Knock Off,Night Slash,Explosion,Quick Attack
,Super Fang,Substitute,Icy Wind,Pursuit,Hidden Power Fire,Swords Dance
Name,Cool Trainer Quincy,,,,,
Pokémon,,,,,,
,Carbink,Slowking,Trevenant,Muk,Kommo-o,Beedrill-Mega
