Name,Elite Four Sidney,,,,,
Pokémon,,,,,,
,Greninja,Necrozma,Nidoking,Urshifu,Yveltal,Gyarados-Mega
Level,99 ,99 ,99 ,100 ,100 ,100 
Held Item,Focus Sash,Leftovers,Life Orb,Roseli Berry,Dread Plate,Gyaradosite
Ability,Protean,Prism Armor,Sheer Force,Unseen Fist,Dark Aura,Mold Breaker
Nature,Timid,Naive,Timid,Jolly,Timid,Jolly
Moves,Dark Pulse,Photon Geyser,Sludge Wave,Close Combat,Dark Pulse,Waterfall
,Scald,Heat Wave,Earth Power,Wicked Blow,Oblivion Wing,Crunch
,Spikes,Knock Off,Ice Beam,Sucker Punch,Heat Wave,Earthquake
,Toxic Spikes,Stealth Rock,Dark Pulse,Swords Dance,Roost,Dragon Dance
Name,Elite Four Sidney [Double],,,,,
Pokémon,,,,,,
,Incineroar,Articuno-Galar,Overqwil,Urshifu,Darkrai,Gyarados-Mega
Level,99 ,99 ,99 ,100 ,100 ,100 
Held Item,Iapapa Berry,Lum Berry,Assault Vest,Focus Sash,Life Orb,Gyaradosite
Ability,Intimidate,Competitive,Intimidate,Unseen Fist,Bad Dreams,Mold Breaker
Nature,Jolly,Timid,Jolly,Jolly,Timid,Jolly
Moves,Flare Blitz,Hurricane,Gunk Shot,Close Combat,Dark Pulse,Waterfall
,Knock Off,Freezing Glare,Crunch,Wicked Blow,Sludge Bomb,Power Whip
,Fire Spin,Hypnosis,Fell Stinger,Reversal,Aura Sphere,Lash Out
,Fake Out,Tailwind,Icy Wind,Detect,Dark Void,Icy Wind
Name,Elite Four Phoebe,,,,,
Pokémon,,,,,,
,Crobat,Zoroark-Hisui,Gothitelle,Lunala,Marshadow,Gengar-Mega
Level,99 ,100 ,99 ,100 ,100 ,100 
Held Item,Flying Gem,Life Orb,Assault Vest,Power Herb,Lum Berry,Gengarite
Ability,Inner Focus,Illusion,Shadow Tag,Shadow Shield,Technician,Shadow Tag
